insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI001', 'MDL003', 'Intact', 'Ready For Take Off');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD002', 'MDL004', 'Damaged', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI003', 'MDL001', 'Intact', 'Ready For Take Off');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD004', 'MDC009', 'Damaged', 'Maintenance In Progress');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD005', 'MDL002', 'Damaged', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD006', 'MDL005', 'Damaged', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD007', 'MDL005', 'Damaged', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI008', 'MDL001', 'Intact', 'Ready For Take Off');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI009', 'MDC006', 'Intact', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI010', 'MDC010', 'Intact', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD011', 'MDC009', 'Damaged', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI012', 'MDC006', 'Intact', 'Ready For Take Off');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI013', 'MDC008', 'Intact', 'Maintenance In Progress');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD014', 'MDC007', 'Damaged', 'Maintenance In Progress');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD015', 'MDC009', 'Damaged', 'Maintenance In Progress');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD016', 'MDC010', 'Damaged', 'Maintenance In Progress');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI017', 'MDL003', 'Intact', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI018', 'MDC010', 'Intact', 'Ready For Take Off');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACI019', 'MDC008', 'Intact', 'Ready To Land');
insert into Aircraft (aircraft_id, model_id, condition, status) values ('ACD020', 'MDC007', 'Damaged', 'Maintenance In Progress');
